Group,Task,Run,Item,Desc,Passed
B,4,5,4-21,HIGH_VALUE 재실사 권고,True
B,4,5,4-22,실사 시작 → is_frozen 설정,True
B,4,5,4-23,실사 완료 → is_frozen 해제,True
B,4,5,4-24,안전재고 체크,True
B,4,5,4-25,안전재고 트리거 기록,True
C,1,1,1-1,PO 연결 필수,True
C,1,1,1-2,2단계 프로세스,True
C,1,1,1-3,초과입고 제한 로직,True
C,1,1,1-4,초과입고 거부 응답,True
C,1,1,1-5,재고 반영 시점 (confirmed),True
C,1,1,1-6,유통기한 필수 체크,True
C,1,1,1-7,유통기한 비관리 처리,True
C,1,1,1-8,received_qty 누적,True
C,1,1,1-9,PO 상태 completed,True
C,1,1,1-10,PO 상태 partial,True
C,1,1,1-11,location.current_qty 갱신,True
C,1,1,1-12,입고 거부 시 무변동,True
C,1,1,1-13,카테고리별 초과율 차등,True
C,1,1,1-14,HAZMAT 0% 예외 없음,True
C,1,1,1-15,PO유형 가중치,True
C,1,1,1-16,성수기 가중치,True
C,1,1,1-17,manufacture_date 필수,True
C,1,1,1-18,잔여율 < 30% 거부,True
C,1,1,1-19,잔여율 30~50% 승인 필요,True
C,1,1,1-20,보관유형 호환 체크,True
C,1,1,1-21,HAZMAT zone 체크,True
C,1,1,1-22,실사 동결 로케이션 거부,False
C,1,1,1-23,페널티 기록 (OVER_DELIVERY),True
C,1,1,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
C,1,1,1-25,페널티 3회 → PO hold,True
C,1,2,1-1,PO 연결 필수,True
C,1,2,1-2,2단계 프로세스,True
C,1,2,1-3,초과입고 제한 로직,True
C,1,2,1-4,초과입고 거부 응답,True
C,1,2,1-5,재고 반영 시점 (confirmed),True
C,1,2,1-6,유통기한 필수 체크,False
C,1,2,1-7,유통기한 비관리 처리,True
C,1,2,1-8,received_qty 누적,True
C,1,2,1-9,PO 상태 completed,True
C,1,2,1-10,PO 상태 partial,True
C,1,2,1-11,location.current_qty 갱신,True
C,1,2,1-12,입고 거부 시 무변동,True
C,1,2,1-13,카테고리별 초과율 차등,True
C,1,2,1-14,HAZMAT 0% 예외 없음,True
C,1,2,1-15,PO유형 가중치,True
C,1,2,1-16,성수기 가중치,True
C,1,2,1-17,manufacture_date 필수,True
C,1,2,1-18,잔여율 < 30% 거부,True
C,1,2,1-19,잔여율 30~50% 승인 필요,False
C,1,2,1-20,보관유형 호환 체크,True
C,1,2,1-21,HAZMAT zone 체크,True
C,1,2,1-22,실사 동결 로케이션 거부,False
C,1,2,1-23,페널티 기록 (OVER_DELIVERY),True
C,1,2,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
C,1,2,1-25,페널티 3회 → PO hold,True
C,1,3,1-1,PO 연결 필수,True
C,1,3,1-2,2단계 프로세스,True
C,1,3,1-3,초과입고 제한 로직,True
C,1,3,1-4,초과입고 거부 응답,True
C,1,3,1-5,재고 반영 시점 (confirmed),True
C,1,3,1-6,유통기한 필수 체크,True
C,1,3,1-7,유통기한 비관리 처리,True
C,1,3,1-8,received_qty 누적,True
C,1,3,1-9,PO 상태 completed,True
C,1,3,1-10,PO 상태 partial,True
C,1,3,1-11,location.current_qty 갱신,True
C,1,3,1-12,입고 거부 시 무변동,True
C,1,3,1-13,카테고리별 초과율 차등,True
